ID,delta_dens,GiZScore_IDW_100,GiPValue_IDW_100,Gi_Bin_IDW_100
107,-0.0044556905390785,-0.38411063979869897,0.06,0
108,-0.0044556905390786,-0.3841106397986805,0.229,0
109,-0.0044556905390785,-0.010669739994422089,0.372,0
110,-0.0044556905390785,-0.010669739994422703,0.372,0
111,-0.0044556905390784,-0.01066973999443129,0.345,0
112,-0.0044556905390786,-0.010669739994447232,0.339,0
113,-0.0044556905390785,-0.38411063979871557,0.007,0
114,-0.0044556905390785,-0.38411063979871557,0.007,0
115,-0.0044556905390786,-0.38411063979873944,0.001,0
116,-0.0044556905390784,-0.3841106397987238,0.001,0
117,-0.0044556905390785,-0.3841106397987328,0.001,0
118,-0.0044556905390785,-0.3841106397987328,0.001,0
119,-0.0044556905390784,-0.3841106397987158,0.006,0
120,-0.0044556905390784,-0.38411063979870724,0.012,0
121,-0.0044556905390784,-0.3841106397987152,0.01,0
122,-0.0044556905390786,-0.010669739994447232,0.339,0
123,-0.0044556905390785,-0.010669739994439284,0.34,0
124,-0.0044556905390786,0.36277115980988733,0.086,0
125,-0.0089113810781571,-0.3759047057780673,0.063,0
126,-0.0044556905390786,0.3627711598098708,0.203,0
127,-0.0044556905390784,-0.010669739994388916,0.302,0
128,-0.0044556905390786,-0.010669739994404856,0.465,0
129,-0.0044556905390786,-0.3841106397986977,0.066,0
130,-0.0044556905390785,-0.38411063979867377,0.29,0
131,-0.0044556905390785,-0.3841106397986824,0.226,0
132,-0.0044556905390786,-0.3841106397986885,0.145,0
133,-0.0044556905390785,-0.3841106397986824,0.225,0
134,-0.0044556905390786,-0.38411063979870563,0.015,0
135,-0.0044556905390785,-0.38411063979869897,0.058,0
136,-0.0044556905390785,-0.38411063979871557,0.009,0
137,-0.0044556905390784,-0.38411063979868204,0.221,0
138,-0.0044556905390785,-0.3841106397986996,0.06,0
139,-0.0044556905390786,-0.3841106397986719,0.295,0
140,-0.0044556905390786,-0.010669739994396873,0.371,0
141,-0.0044556905390785,-0.38411063979867377,0.293,0
142,-0.0044556905390785,-0.38411063979866583,0.331,0
143,-0.0044556905390785,-0.010669739994406121,0.462,0
144,-0.0044556905390785,-0.010669739994414104,0.44,0
145,-0.0044556905390786,-0.3841106397986885,0.134,0
146,-0.0044556905390786,-0.3841106397986971,0.063,0
147,-0.0044556905390786,-0.3841106397986971,0.063,0
148,-0.0044556905390784,-0.38411063979867344,0.29,0
149,-0.0044556905390785,-0.38411063979869037,0.133,0
150,-0.0044556905390785,-0.010669739994414104,0.443,0
151,-0.0044556905390785,-0.38411063979869897,0.059,0
152,-0.0089113810781571,-0.37590470577805796,0.239,0
153,-0.0044556905390784,-0.38411063979869925,0.058,0
154,-0.0044556905390785,-0.3841106397987076,0.02,0
155,-0.0044556905390785,-0.3841106397986824,0.229,0
156,-0.0044556905390785,-0.38411063979866583,0.33,0
157,-0.0044556905390786,-0.38411063979870563,0.02,0
158,-0.0044556905390786,-0.3841106397986805,0.232,0
159,-0.0044556905390786,-0.3841106397986805,0.232,0
160,-0.0044556905390785,-0.38411063979866583,0.332,0
161,-0.0044556905390786,-0.3841106397986719,0.29,0
162,-0.0044556905390785,-0.3841106397986824,0.225,0
163,-0.0044556905390786,-0.01066973999440547,0.462,0
164,-0.0044556905390785,-0.010669739994397524,0.369,0
165,-0.0044556905390786,-0.01066973999440547,0.46,0
166,-0.0044556905390785,-0.010669739994422089,0.381,0
167,-0.0044556905390785,-0.38411063979869037,0.139,0
168,-0.0044556905390785,-0.38411063979869037,0.139,0
169,-0.0044556905390786,-0.3841106397987136,0.014,0
170,-0.0044556905390785,-0.010669739994414104,0.446,0
171,-0.0044556905390785,0.3627711598098622,0.249,0
172,-0.0044556905390785,-0.010669739994414104,0.446,0
173,-0.0044556905390785,-0.010669739994422089,0.381,0
174,-0.0089113810781571,-0.3759047057780754,0.019,0
175,-0.0044556905390785,0.3627711598098548,0.249,0
176,-0.0044556905390785,0.3627711598098548,0.249,0
177,-0.0044556905390785,1.1096529594184412,0.004,0
178,-0.0089113810781572,0.7626528165304843,0.031,0
179,-0.0089113810781572,1.1421719906333345,0.004,0
180,-0.0089113810781572,1.1421719906333345,0.004,0
181,-0.0044556905390786,1.4830938592227223,0.001,0
182,-0.0089113810781572,0.762652816530493,0.013,0
183,-0.0044556905390786,0.7362120596141544,0.041,0
184,-0.0044556905390785,0.7362120596141642,0.025,0
185,-0.0044556905390785,1.1096529594184406,0.003,0
186,-0.0089113810781572,1.1421719906333339,0.003,0
187,-0.0044556905390785,-0.38411063979869037,0.145,0
188,-0.0044556905390785,-0.3841106397986824,0.219,0
189,-0.0044556905390785,-0.3841106397986824,0.219,0
190,-0.0044556905390785,-0.010669739994414104,0.421,0
191,-0.0044556905390786,-0.01066973999440547,0.479,0
192,-0.0089113810781571,-0.37590470577805796,0.233,0
193,-0.0044556905390786,-0.010669739994421439,0.375,0
194,-0.0044556905390785,-0.010669739994422089,0.374,0
195,-0.0044556905390784,-0.010669739994422079,0.373,0
196,-0.0044556905390785,-0.010669739994422089,0.376,0
197,-0.0044556905390785,-0.010669739994430686,0.348,0
198,-0.0044556905390785,-0.010669739994430686,0.348,0
199,-0.0089113810781572,-0.37590470577807633,0.022,0
200,-0.0044556905390785,-0.010669739994422089,0.37,0
201,-0.0044556905390785,-0.010669739994422089,0.37,0
202,-0.0044556905390785,-0.010669739994422089,0.37,0
203,-0.0044556905390785,1.1096529594184412,0.003,0
204,-0.0089113810781572,1.1421719906333345,0.003,0
205,-0.0044556905390785,1.1096529594184497,0.002,0
206,-0.0044556905390785,1.1096529594184412,0.003,0
207,-0.0089113810781572,1.1421719906333345,0.002,0
208,-0.0089113810781572,1.1421719906333265,0.002,0
209,-0.0089113810781572,1.1421719906333265,0.002,0
210,-0.0089113810781571,1.1421719906333316,0.002,0
211,-0.0044556905390785,-0.010669739994422089,0.376,0
