type,landuse,floors,area,year,pop2011,pop2022,ID,weight
Residential building,Urban,1,57.003,2011,594,507,111,57.003
Residential building,Urban,1,53.617,2011,594,507,112,53.617
Residential building,Urban,1,70.827,2011,594,507,113,70.827
Residential building,Urban,1,70.14,2011,594,507,114,70.14
Residential building,Urban,1,67.175,2011,594,507,115,67.175
Residential building,Urban,1,46.601,2011,594,507,116,46.601
Residential building,Urban,1,83.825,2011,594,507,117,83.825
Residential building,Urban,1,58.551,2011,594,507,118,58.551
Residential building,Urban,1,36.611,2011,594,507,119,36.611
Residential building,Urban,1,44.492,2011,594,507,120,44.492
Residential building,Urban,1,38.911,2011,594,507,121,38.911
Residential building,Urban,1,110.625,2011,594,507,122,110.625
Residential building,Urban,1,76.373,2011,594,507,123,76.373
Residential building,Urban,1,60.461,2011,594,507,124,60.461
Residential building,Urban,2,81.536,2011,594,507,125,163.072
Residential building,Urban,1,70.561,2011,594,507,126,70.561
Residential building,Urban,1,49.163,2011,594,507,127,49.163
Residential building,Urban,1,78.67499999999998,2011,594,507,128,78.67499999999998
Residential building,Urban,1,166.465,2011,594,507,129,166.465
Residential building,Urban,1,79.406,2011,594,507,130,79.406
Residential building,Urban,1,64.955,2011,594,507,131,64.955
Residential building,Urban,1,77.76,2011,594,507,132,77.76
Residential building,Urban,1,84.75499999999998,2011,594,507,133,84.75499999999998
Residential building,Urban,1,88.96299999999998,2011,594,507,134,88.96299999999998
Residential building,Urban,1,54.988,2011,594,507,135,54.988
Residential building,Urban,1,78.07599999999998,2011,594,507,136,78.07599999999998
Residential building,Urban,1,49.66,2011,594,507,137,49.66
Residential building,Urban,1,47.792,2011,594,507,138,47.792
Residential building,Urban,1,66.065,2011,594,507,139,66.065
Residential building,Urban,1,67.918,2011,594,507,140,67.918
Residential building,Urban,1,79.92499999999998,2011,594,507,141,79.92499999999998
Residential building,Urban,1,108.448,2011,594,507,142,108.448
Residential building,Urban,1,59.231,2011,594,507,143,59.231
Residential building,Urban,1,42.459,2011,594,507,144,42.459
Residential building,Urban,1,95.596,2011,594,507,145,95.596
Residential building,Urban,1,96.133,2011,594,507,146,96.133
Residential building,Urban,1,64.298,2011,594,507,147,64.298
Residential building,Urban,1,52.886,2011,594,507,148,52.886
Residential building,Urban,1,83.41899999999998,2011,594,507,149,83.41899999999998
Residential building,Urban,1,73.55899999999998,2011,594,507,150,73.55899999999998
Residential building,Urban,1,51.292,2011,594,507,151,51.292
Residential building,Urban,2,51.603,2011,594,507,152,103.206
Residential building,Urban,1,40.922,2011,594,507,153,40.922
Residential building,Urban,1,66.687,2011,594,507,154,66.687
Residential building,Urban,1,64.432,2011,594,507,155,64.432
Residential building,Urban,1,78.77599999999998,2011,594,507,156,78.77599999999998
Residential building,Urban,1,53.068,2011,594,507,157,53.068
Residential building,Urban,1,69.131,2011,594,507,158,69.131
Residential building,Urban,1,67.427,2011,594,507,159,67.427
