type,landuse,floors,area,year,pop2011,pop2022,ID
Residential building,Urban,1,70.140000000000001,2011,594,507,114
Residential building,Urban,1,67.174999999999997,2011,594,507,115
Residential building,Urban,1,46.600999999999999,2011,594,507,116
Residential building,Urban,1,83.825000000000003,2011,594,507,117
Residential building,Urban,1,58.551000000000002,2011,594,507,118
Residential building,Urban,1,36.610999999999997,2011,594,507,119
Residential building,Urban,1,44.491999999999997,2011,594,507,120
Residential building,Urban,1,38.911000000000001,2011,594,507,121
Residential building,Urban,1,110.625000000000000,2011,594,507,122
Residential building,Urban,1,76.373000000000005,2011,594,507,123
Residential building,Urban,1,60.460999999999999,2011,594,507,124
Residential building,Urban,2,81.536000000000001,2011,594,507,125
Residential building,Urban,1,70.561000000000007,2011,594,507,126
Residential building,Urban,1,49.162999999999997,2011,594,507,127
Residential building,Urban,1,78.674999999999997,2011,594,507,128
Residential building,Urban,1,166.465000000000003,2011,594,507,129
Residential building,Urban,1,79.406000000000006,2011,594,507,130
Residential building,Urban,1,64.954999999999998,2011,594,507,131
Residential building,Urban,1,77.760000000000005,2011,594,507,132
Residential building,Urban,1,84.754999999999995,2011,594,507,133
Residential building,Urban,1,88.962999999999994,2011,594,507,134
Residential building,Urban,1,54.988000000000000,2011,594,507,135
Residential building,Urban,1,78.075999999999993,2011,594,507,136
Residential building,Urban,1,49.659999999999997,2011,594,507,137
Residential building,Urban,1,47.792000000000002,2011,594,507,138
Residential building,Urban,1,66.064999999999998,2011,594,507,139
Residential building,Urban,1,67.918000000000006,2011,594,507,140
Residential building,Urban,1,79.924999999999997,2011,594,507,141
Residential building,Urban,1,108.447999999999993,2011,594,507,142
Residential building,Urban,1,59.231000000000002,2011,594,507,143
Residential building,Urban,1,42.459000000000003,2011,594,507,144
Residential building,Urban,1,95.596000000000004,2011,594,507,145
Residential building,Urban,1,96.132999999999996,2011,594,507,146
Residential building,Urban,1,64.298000000000002,2011,594,507,147
Residential building,Urban,1,52.886000000000003,2011,594,507,148
Residential building,Urban,1,83.418999999999997,2011,594,507,149
Residential building,Urban,1,73.558999999999997,2011,594,507,150
Residential building,Urban,1,51.292000000000002,2011,594,507,151
Residential building,Urban,2,51.603000000000002,2011,594,507,152
Residential building,Urban,1,40.921999999999997,2011,594,507,153
Residential building,Urban,1,66.686999999999998,2011,594,507,154
Residential building,Urban,1,64.432000000000002,2011,594,507,155
Residential building,Urban,1,78.775999999999996,2011,594,507,156
Residential building,Urban,1,53.067999999999998,2011,594,507,157
Residential building,Urban,1,69.131000000000000,2011,594,507,158
Residential building,Urban,1,67.427000000000007,2011,594,507,159
Residential building,Urban,1,77.480999999999995,2011,594,507,160
Residential building,Urban,1,26.105000000000000,2011,594,507,161
Residential building,Urban,1,61.563000000000002,2011,594,507,162
Residential building,Urban,1,79.927000000000007,2011,594,507,163
Residential building,Urban,1,86.591999999999999,2011,594,507,164
Residential building,Urban,1,72.212999999999994,2011,594,507,165
Residential building,Urban,1,83.716999999999999,2011,594,507,166
Residential building,Urban,1,60.914999999999999,2011,594,507,167
Residential building,Urban,1,62.334000000000003,2011,594,507,168
Residential building,Urban,1,54.715000000000003,2011,594,507,169
Residential building,Urban,1,66.888000000000005,2011,594,507,170
Residential building,Urban,1,81.941999999999993,2011,594,507,171
Residential building,Urban,1,83.344999999999999,2011,594,507,172
Residential building,Urban,1,63.353999999999999,2011,594,507,173
Residential building,Urban,2,64.915000000000006,2011,594,507,174
Residential building,Urban,1,68.367000000000004,2011,594,507,175
Residential building,Urban,1,76.882000000000005,2011,594,507,176
Residential building,Urban,1,73.893000000000001,2011,594,507,177
Residential building,Urban,2,83.638999999999996,2011,594,507,178
Residential building,Urban,2,74.641000000000005,2011,594,507,179
Residential building,Urban,2,97.012000000000000,2011,594,507,180
Residential building,Urban,1,98.489000000000004,2011,594,507,181
Residential building,Urban,2,116.787000000000006,2011,594,507,182
Residential building,Urban,1,88.584999999999994,2011,594,507,183
Residential building,Urban,1,88.623000000000005,2011,594,507,184
Residential building,Urban,1,105.384000000000000,2011,594,507,185
Residential building,Urban,2,92.061000000000007,2011,594,507,186
Residential building,Urban,1,68.093000000000004,2011,594,507,187
Residential building,Urban,1,46.295999999999999,2011,594,507,188
Residential building,Urban,1,50.829999999999998,2011,594,507,189
Residential building,Urban,1,99.504999999999995,2011,594,507,190
Residential building,Urban,1,59.375000000000000,2011,594,507,191
Residential building,Urban,2,84.620999999999995,2011,594,507,192
Residential building,Urban,1,83.677999999999997,2011,594,507,193
Residential building,Urban,1,42.863000000000000,2011,594,507,194
Residential building,Urban,1,20.824000000000002,2011,594,507,195
Residential building,Urban,1,48.593000000000004,2011,594,507,196
Residential building,Urban,1,58.040999999999997,2011,594,507,197
Residential building,Urban,1,57.503999999999998,2011,594,507,198
Residential building,Urban,2,67.385999999999996,2011,594,507,199
Residential building,Urban,1,73.890000000000001,2011,594,507,200
Residential building,Urban,1,73.478999999999999,2011,594,507,201
Residential building,Urban,1,84.909000000000006,2011,594,507,202
Residential building,Urban,1,85.200999999999993,2011,594,507,203
Residential building,Urban,2,21.286999999999999,2011,594,507,204
Residential building,Urban,1,50.234000000000002,2011,594,507,205
Residential building,Urban,1,89.977000000000004,2011,594,507,206
Residential building,Urban,2,77.875000000000000,2011,594,507,207
Residential building,Urban,2,103.301000000000002,2011,594,507,208
Residential building,Urban,2,108.876000000000005,2011,594,507,209
Residential building,Urban,2,65.680999999999997,2011,594,507,210
Residential building,Urban,1,56.895000000000003,2011,594,507,211
