type,landuse,floors,area,year,pop2011,pop2022,ID,weight,weight_share,p11_alloc,p22_alloc,delta_pop,delta_pct,dens11,dens22,delta_dens
Residential building,Urban,1,107.859,2011,594,507,1,107.859,0.005523980756948,3.281244569627112,2.800658243772636,-0.480586325854476,-14.646464646464647,0.03042161126681234,0.025965920727733766,-0.004455690539078575
Residential building,Urban,1,120.671,2011,594,507,2,120.671,0.0061801452073696,3.671006253177543,3.1333336201363875,-0.5376726330411556,-14.646464646464654,0.030421611266812598,0.02596592072773398,-0.004455690539078617
Residential building,Urban,2,95.438,2011,594,507,3,190.876,0.0097756826130709,5.806755472164115,4.956271084826946,-0.8504843873371692,-14.646464646464663,0.060843222533625126,0.0519318414554679,-0.008911381078157227
Residential building,Urban,1,69.089,2011,594,507,4,69.089,0.0035383816512,2.1017987008128,1.7939594971584,-0.30783920365439976,-14.646464646464635,0.030421611266812372,0.025965920727733793,-0.004455690539078579
Residential building,Urban,1,62.84,2011,594,507,5,62.84,0.0032183401548931,1.9116940520065016,1.631698458530802,-0.27999559347569947,-14.646464646464633,0.030421611266812563,0.02596592072773396,-0.004455690539078603
Residential building,Urban,1,61.582,2011,594,507,6,61.582,0.0031539118939947,1.873423665032852,1.5990333302553128,-0.27439033477753916,-14.64646464646466,0.030421611266812573,0.02596592072773396,-0.004455690539078613
Residential building,Urban,1,85.596,2011,594,507,7,85.596,0.0043837849124479,2.6039682379940525,2.2225789506110853,-0.3813892873829672,-14.64646464646464,0.030421611266812146,0.0259659207277336,-0.004455690539078547
Residential building,Urban,1,82.328,2011,594,507,8,82.328,0.0042164148356467,2.50455041237414,2.137722321672877,-0.3668280907012629,-14.646464646464647,0.030421611266812504,0.025965920727733904,-0.0044556905390785995
Residential building,Urban,1,154.282,2011,594,507,9,154.282,0.0079015269856336,4.693507029466359,4.006074181716235,-0.6874328477501237,-14.646464646464658,0.03042161126681245,0.025965920727733856,-0.0044556905390785925
Residential building,Urban,1,86.635,2011,594,507,10,86.635,0.004436997124748,2.635576292100312,2.249557542247236,-0.38601874985307605,-14.646464646464649,0.030421611266812625,0.02596592072773401,-0.004455690539078617
Residential building,Urban,1,138.7,2011,594,507,11,138.7,0.0071034974456345,4.219477482706893,3.6014732049366915,-0.6180042777702011,-14.646464646464638,0.030421611266812493,0.0259659207277339,-0.0044556905390785925
Residential building,Urban,1,91.46,2011,594,507,12,91.46,0.0046841086977486,2.7823605664626685,2.3748431097585403,-0.4075174567041282,-14.646464646464647,0.030421611266812473,0.025965920727733877,-0.004455690539078596
Residential building,Urban,1,81.65699999999998,2011,594,507,13,81.65699999999998,0.0041820496821786,2.4841375112140884,2.1202991888645504,-0.36383832234953806,-14.64646464646464,0.030421611266812264,0.0259659207277337,-0.004455690539078565
Residential building,Urban,1,123.18,2011,594,507,14,123.18,0.0063086432253299,3.747334075845961,3.198482115242259,-0.5488519606037019,-14.64646464646466,0.030421611266812476,0.025965920727733877,-0.0044556905390785995
Residential building,Urban,1,126.594,2011,594,507,15,126.594,0.0064834906678634,3.85119345671086,3.287129768606744,-0.5640636881041159,-14.646464646464647,0.03042161126681249,0.025965920727733894,-0.004455690539078596
Residential building,Urban,1,89.441,2011,594,507,16,89.441,0.0045807059483417,2.72093933331497,2.322417915809242,-0.3985214175057279,-14.646464646464647,0.03042161126681242,0.025965920727733835,-0.004455690539078586
Residential building,Urban,1,108.567,2011,594,507,17,108.567,0.005560240859266,3.302783070404004,2.819042115647862,-0.4837409547561422,-14.646464646464652,0.03042161126681224,0.02596592072773368,-0.004455690539078561
Residential building,Urban,2,133.012,2011,594,507,18,266.024,0.0136243749421592,8.092878715642565,6.907558095674714,-1.1853206199678503,-14.646464646464647,0.06084322253362527,0.05193184145546804,-0.008911381078157234
Residential building,Urban,1,104.835,2011,594,507,19,104.835,0.0053691070995897,3.189249617156282,2.722137299491978,-0.46711231766430394,-14.646464646464647,0.030421611266812438,0.02596592072773385,-0.004455690539078589
Residential building,Urban,1,108.723,2011,594,507,20,108.723,0.0055682303733361,3.3075288417616435,2.8230927992814028,-0.48443604248024075,-14.646464646464647,0.03042161126681239,0.025965920727733807,-0.004455690539078582
Residential building,Urban,1,103.682,2011,594,507,21,103.682,0.0053100563962385,3.154173499365669,2.6921985928929195,-0.4619749064727494,-14.646464646464644,0.030421611266812646,0.02596592072773403,-0.004455690539078617
Residential building,Urban,1,116.491,2011,594,507,22,116.491,0.0059660672021587,3.543843918082268,3.024796071494461,-0.519047846587807,-14.646464646464649,0.03042161126681261,0.025965920727733995,-0.004455690539078617
Residential building,Urban,1,91.891,2011,594,507,23,91.891,0.0047061822911089,2.7954722809186863,2.386034421592212,-0.4094378593264745,-14.646464646464654,0.0304216112668127,0.02596592072773407,-0.004455690539078631
Residential building,Urban,2,107.127,2011,594,507,24,214.254,0.0109729829972385,6.517951900359669,5.563302379599919,-0.9546495207597498,-14.646464646464652,0.06084322253362522,0.05193184145546799,-0.008911381078157234
Residential building,Urban,1,97.449,2011,594,507,25,97.449,0.0049908343372721,2.964555596339628,2.530353008996955,-0.43420258734267314,-14.646464646464658,0.030421611266812674,0.025965920727734047,-0.004455690539078627
Residential building,Urban,2,93.188,2011,594,507,26,186.376,0.0095452158610496,5.669858221463463,4.839424441552148,-0.8304337799113153,-14.646464646464647,0.060843222533625174,0.051931841455467954,-0.00891138107815722
Residential building,Urban,2,91.643,2011,594,507,27,183.286,0.0093869620246616,5.57585544264899,4.759189746503431,-0.8166656961455594,-14.646464646464652,0.06084322253362494,0.051931841455467746,-0.008911381078157192
Residential building,Urban,1,110.68,2011,594,507,28,110.68,0.0056684578030485,3.367063935010809,2.8739081061455893,-0.4931558288652198,-14.646464646464654,0.030421611266812514,0.02596592072773391,-0.004455690539078603
Residential building,Urban,1,107.586,2011,594,507,29,107.586,0.0055099991073254,3.272939469751288,2.793569547413978,-0.47936992233731024,-14.646464646464658,0.030421611266812486,0.025965920727733887,-0.0044556905390785995
Residential building,Urban,1,91.476,2011,594,507,30,91.476,0.0046849281350891,2.7828473122429256,2.375258564490174,-0.4075887477527518,-14.646464646464649,0.03042161126681234,0.025965920727733766,-0.004455690539078575
Residential building,Urban,1,76.72199999999998,2011,594,507,31,76.72199999999998,0.0039293044774619,2.3340068596123684,1.9921573700731832,-0.34184948953918526,-14.646464646464647,0.030421611266812244,0.025965920727733682,-0.004455690539078561
Residential building,Urban,1,84.366,2011,594,507,32,84.366,0.0043207906668954,2.566549656135868,2.190640868115968,-0.3759087880198999,-14.646464646464649,0.03042161126681208,0.025965920727733544,-0.004455690539078537
Residential building,Urban,1,103.587,2011,594,507,33,103.587,0.0053051909870291,3.151283446295285,2.689731830423754,-0.46155161587153115,-14.64646464646463,0.030421611266812292,0.025965920727733727,-0.004455690539078565
Residential building,Urban,1,79.36,2011,594,507,34,79.36,0.0040644092089802,2.414259070134239,2.060655468952961,-0.35360360118127776,-14.64646464646466,0.030421611266812486,0.025965920727733884,-0.004455690539078603
Residential building,Urban,2,99.731,2011,594,507,35,199.462,0.0102154131759276,6.067955426500995,5.179214480195293,-0.8887409463057017,-14.646464646464652,0.0608432225336254,0.05193184145546814,-0.008911381078157261
Residential building,Urban,1,59.459,2011,594,507,36,59.459,0.0030451828018744,1.8088385843133932,1.543907680550321,-0.26493090376307227,-14.646464646464622,0.03042161126681231,0.025965920727733745,-0.004455690539078565
Residential building,Urban,1,74.887,2011,594,507,37,74.887,0.003835325257471,2.278183202937774,1.944509905537797,-0.333673297399977,-14.646464646464647,0.030421611266812316,0.025965920727733745,-0.004455690539078572
Residential building,Urban,1,73.437,2011,594,507,38,73.437,0.0037610637484864,2.2340718666009214,1.9068593204826048,-0.3272125461183166,-14.64646464646464,0.030421611266812663,0.025965920727734043,-0.00445569053907862
Residential building,Urban,1,85.173,2011,594,507,39,85.173,0.0043621210377579,2.591099896428193,2.2115953661432552,-0.3795045302849376,-14.646464646464654,0.030421611266812167,0.025965920727733616,-0.004455690539078551
Residential building,Urban,1,99.477,2011,594,507,40,99.477,0.005094698020183,3.026250623988702,2.5830118962327813,-0.4432387277559209,-14.64646464646464,0.03042161126681245,0.02596592072773386,-0.004455690539078589
Residential building,Urban,2,114.183,2011,594,507,41,228.366,0.0116957267315773,6.947261678556917,5.929733452909692,-1.017528225647225,-14.646464646464644,0.06084322253362511,0.0519318414554679,-0.008911381078157213
Residential building,Urban,1,142.278,2011,594,507,42,142.278,0.0072867441209083,4.3283260078195305,3.694379269300508,-0.6339467385190223,-14.646464646464649,0.030421611266812372,0.025965920727733793,-0.004455690539078579
Residential building,Urban,1,115.657,2011,594,507,43,115.657,0.0059233540307841,3.518472294285756,3.0031404936075385,-0.5153318006782173,-14.64646464646466,0.030421611266812695,0.025965920727734064,-0.004455690539078631
Residential building,Urban,1,116.418,2011,594,507,44,116.418,0.0059623285192926,3.541623140459804,3.022900559281348,-0.5187225811784564,-14.646464646464652,0.030421611266812726,0.02596592072773409,-0.004455690539078634
Residential building,Urban,1,93.67,2011,594,507,45,93.67,0.0047972934804079,2.8495923273622927,2.4322277945668054,-0.41736453279548735,-14.646464646464647,0.030421611266812136,0.02596592072773359,-0.004455690539078547
Residential building,Urban,1,82.658,2011,594,507,46,82.658,0.0042333157307949,2.5145895440921704,2.1462910755130142,-0.36829846857915616,-14.64646464646464,0.030421611266812292,0.025965920727733724,-0.004455690539078568
Residential building,Urban,1,94.33,2011,594,507,47,94.33,0.0048310952707044,2.869670590798414,2.449365302247131,-0.4203052885512828,-14.646464646464644,0.030421611266812403,0.025965920727733818,-0.004455690539078586
Residential building,Urban,1,113.737,2011,594,507,48,113.737,0.0058250215499216,3.4600628006534304,2.9532859258102517,-0.5067768748431787,-14.646464646464633,0.0304216112668123,0.025965920727733734,-0.004455690539078565
Residential building,Urban,1,100.442,2011,594,507,49,100.442,0.0051441203347831,3.0556074788611616,2.608069009735032,-0.4475384691261297,-14.646464646464647,0.030421611266812306,0.025965920727733738,-0.004455690539078568
Residential building,Urban,1,109.307,2011,594,507,50,109.307,0.0055981398362651,3.325295062741469,2.838256896986405,-0.487038165755064,-14.646464646464658,0.030421611266812455,0.02596592072773386,-0.004455690539078596
Residential building,Urban,1,104.797,2011,594,507,51,104.797,0.005367160935906,3.1880935959281644,2.7211505945043424,-0.46694300142382206,-14.646464646464647,0.030421611266812643,0.025965920727734022,-0.00445569053907862
Residential building,Urban,1,116.881,2011,594,507,52,116.881,0.0059860409873339,3.5557083464763366,3.0349227805782872,-0.5207855658980494,-14.646464646464649,0.030421611266812712,0.02596592072773408,-0.004455690539078631
