type,landuse,floors,area,year,pop2011,pop2022,ID,weight,weight_share,p11_alloc,p22_alloc
Residential building,Urban,1,61.563,2011,594,507,162,61.563,0.0031529388121528,1.8728456544187633,1.5985399777614695
Residential building,Urban,1,79.927,2011,594,507,163,79.927,0.0040934480197349,2.4315081237225304,2.0753781460055944
Residential building,Urban,1,86.592,2011,594,507,164,86.592,0.0044347948868953,2.634268162815808,2.248441007655917
Residential building,Urban,1,72.21299999999998,2011,594,507,165,72.21299999999998,0.0036983767919366,2.19683581441034,1.875077033511856
Residential building,Urban,1,83.717,2011,594,507,166,83.717,0.0042875522397706,2.5468060304237365,2.1737889855636943
Residential building,Urban,1,60.915,2011,594,507,167,60.915,0.0031197515998617,1.8531324503178497,1.5817140611298819
Residential building,Urban,1,62.334,2011,594,507,168,62.334,0.0031924254489991,1.8963007167054655,1.6185597026425438
Residential building,Urban,1,54.715,2011,594,507,169,54.715,0.0028022196304102,1.664518460463659,1.4207253526179715
Residential building,Urban,1,66.888,2011,594,507,170,66.888,0.0034256578020447,2.034840734414552,1.736808505636663
Residential building,Urban,1,81.94199999999998,2011,594,507,171,81.94199999999998,0.0041966459098066,2.4928076704251207,2.1276994762719466
Residential building,Urban,1,83.345,2011,594,507,172,83.345,0.0042685003216035,2.535489191032479,2.1641296630529743
Residential building,Urban,1,63.354,2011,594,507,173,63.354,0.0032446645794573,1.9273307601976362,1.645044941784851
Residential building,Urban,2,64.915,2011,594,507,174,129.83,0.0066492218699836,3.9496377907702587,3.371155488081685
Residential building,Urban,1,68.367,2011,594,507,175,68.367,0.003501404541209,2.079834297478146,1.775212102392963
Residential building,Urban,1,76.882,2011,594,507,176,76.882,0.0039374988508671,2.3388743174150575,1.9963119173896198
Residential building,Urban,1,73.893,2011,594,507,177,73.893,0.0037844177126912,2.247944121338573,1.9186997803344383
Residential building,Urban,2,83.63899999999998,2011,594,507,178,167.27799999999996,0.0085671149654712,5.088866289489893,4.343527287493899
Residential building,Urban,2,74.641,2011,594,507,179,149.282,0.0076454528167211,4.541398973132334,3.8762445780775976
Residential building,Urban,2,97.012,2011,594,507,180,194.024,0.0099369069098183,5.902522704432069,5.038011803277878
Residential building,Urban,1,98.489,2011,594,507,181,98.489,0.0050440977644059,2.9961940720571043,2.557357566553791
Residential building,Urban,2,116.787,2011,594,507,182,233.574,0.0119624535859167,7.10569743003452,6.064963968059767
Residential building,Urban,1,88.58499999999998,2011,594,507,183,88.58499999999998,0.0045368660506239,2.6948984340705966,2.300191087666317
Residential building,Urban,1,88.623,2011,594,507,184,88.623,0.0045388122143076,2.6960544552987145,2.301177792653953
Residential building,Urban,1,105.384,2011,594,507,185,105.384,0.0053972240433363,3.205951081741762,2.736392589971504
Residential building,Urban,2,92.061,2011,594,507,186,184.122,0.0094297776257038,5.6012879096680575,4.780897256231826
Residential building,Urban,1,68.093,2011,594,507,187,68.093,0.0034873716767526,2.0714987759910444,1.7680974401135683
Residential building,Urban,1,46.296,2011,594,507,188,46.296,0.0023710419447952,1.4083989152083487,1.2021182660111664
Residential building,Urban,1,50.83,2011,594,507,189,50.83,0.0026032500011651,1.5463305006920693,1.3198477505907056
Residential building,Urban,1,99.505,2011,594,507,190,99.505,0.0050961320355289,3.0271024291041666,2.5837389420131522
Residential building,Urban,1,59.375,2011,594,507,191,59.375,0.0030408807558367,1.8062831689669996,1.5417265432092069
Residential building,Urban,2,84.62099999999998,2011,594,507,192,169.24199999999996,0.00866770089902,5.148614334017879,4.3945243558031395
Residential building,Urban,1,83.67799999999998,2011,594,507,193,83.67799999999998,0.0042855548612531,2.545619587584341,2.1727763146553216
Residential building,Urban,1,42.863,2011,594,507,194,42.863,0.0021952214204198,1.3039615237293611,1.1129772601528385
Residential building,Urban,1,20.824,2011,594,507,195,20.824,0.001066497698687,0.633499633020078,0.540714333234309
Residential building,Urban,1,48.593,2011,594,507,196,48.593,0.0024886824179936,1.4782773562881986,1.2617619859227553
Residential building,Urban,1,58.041,2011,594,507,197,58.041,0.0029725601675708,1.7657007395370552,1.5070880049583957
Residential building,Urban,1,57.504,2011,594,507,198,57.504,0.0029450578018296,1.7493643342867824,1.4931443055276072
Residential building,Urban,2,67.386,2011,594,507,199,134.772,0.0069023255785368,4.099981393650859,3.499479068318158
Residential building,Urban,1,73.89,2011,594,507,200,73.89,0.0037842640681898,2.2478528565047413,1.9186218825722285
Residential building,Urban,1,73.479,2011,594,507,201,73.479,0.0037632147715052,2.235349574274089,1.9079498891531363
Residential building,Urban,1,84.909,2011,594,507,202,84.909,0.0043486003216393,2.583068591053744,2.204740363071125
Residential building,Urban,1,85.20099999999998,2011,594,507,203,85.20099999999998,0.0043635550531038,2.5919517015436573,2.2123224119236267
Residential building,Urban,2,21.287,2011,594,507,204,42.574,0.0021804203334567,1.2951696780732798,1.105473109062547
Residential building,Urban,1,50.234,2011,594,507,205,50.234,0.0025727259602307,1.5281992203770358,1.304372061836965
Residential building,Urban,1,89.977,2011,594,507,206,89.977,0.0046081570992491,2.7372453169539654,2.336335649319294
Residential building,Urban,2,77.875,2011,594,507,207,155.75,0.0079767103616264,4.738165954806082,4.044192153344585
Residential building,Urban,2,103.301,2011,594,507,208,206.602,0.0105810870891347,6.285165730946012,5.3646111541912935
Residential building,Urban,2,108.876,2011,594,507,209,217.752,0.0111521324858097,6.624366696570962,5.654131170305518
Residential building,Urban,2,65.681,2011,594,507,210,131.362,0.0067276829953384,3.9962436992310093,3.4109352786365688
Residential building,Urban,1,56.895,2011,594,507,211,56.895,0.002913867968056,1.730837573025264,1.477331059804392
